1,Bangladesh,80,1483,27,2,16
2,Benin,104,933,16,5,17
3,Bolivia,73,2355,13,5,28
4,Brazil,48,7037,19,3,29
5,Burkina Faso,109,965,17,5,17
6,Cameroon,80,1573,21,4,25
7,Central African Rep,102,1166,22,5,26
8,Chad,110,850,21,3,24
9,Colombia,24,5749,18,2,27
10,Cote d'Ivoire,91,1654,21,6,16
11,Dominican Rep,49,5507,22,2,35
12,Egypt,55,3420,10,3,24
13,Eritrea,76,880,15,7,26
14,Ethiopia,113,628,14,6,20
15,Gabon,61,6024,22,4,22
16,Ghana,61,1881,15,5,13
17,Guatemala,57,3674,17,3,32
18,Guinea,107,1934,22,5,17
19,Haiti,89,1464,15,6,27
20,India,73,2248,22,1,28
21,Indonesia,52,2857,13,4,15
22,Jordan,29,3955,7,3,44
23,Kazakhstan,55,4951,11,2,32
24,Kenya,71,1022,18,3,23
25,Kyrgyz Rep,66,2573,14,2,30
26,Madagascar,99,799,21,5,31
27,Malawi,113,586,21,6,17
28,Mali,134,753,21,4,26
29,Morocco,66,3419,10,10,26
30,Mozambique,147,861,24,6,19
31,Namibia,62,5468,15,7,22
32,Nepal,93,1237,18,3,24
33,Nicaragua,45,2279,25,3,32
34,Niger,136,753,23,5,25
35,Nigeria,71,853,17,5,27
36,Pakistan,94,1834,11,6,33
37,Peru,43,4622,14,4,20
38,Philippines,36,3805,8,4,36
39,Rwanda,90,885,9,7,21
40,Senegal,69,1419,14,7,18
41,Tanzania,108,501,19,5,17
42,Togo,80,1410,13,6,14
43,Turkey,43,6380,13,2,26
44,Uganda,86,650,23,4,28
45,Uzbekistan,44,2251,12,1,30
46,Vietnam,29,1860,8,2,19
47,Yemen,90,806,12,7,37
48,Zambia,108,756,30,4,19
49,Zimbabwe,60,2876,32,4,12
